"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT08","WT11"
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-01","0.19","0.0","0.0","41","31","35",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-02","0.00","0.0","0.0","44","27","27",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-03","1.82","0.0","0.0","45","27","42",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-04","0.17","0.0","0.0","42","33","33",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-05","0.01","0.0","0.0","41","32","39",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-06","0.00","0.0","0.0","51","32","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-07","0.00","0.0","0.0","42","20","20",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-08","0.00","0.0","0.0","34","19","34",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-09","0.00","0.0","0.0","46","34","35",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-10","0.00","0.0","0.0","60","29","29",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-11","0.00","0.0","0.0","47","29","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-12","0.15","0.0","0.0","58","38","39",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-13","0.00","0.0","0.0","57","32","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-14","0.40","0.0","0.0","58","38","56",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-15","0.00","5.5","5.0","56","21","21",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-16","0.00","0.0","2.0","28","16","18",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-17","0.00","0.0","0.0","28","15","18",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-18","0.30","0.0","0.0","62","18","61",,,,,,,,"    1"
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-19","0.00","0.0","0.0","61","30","30",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-20","0.00","0.0","0.0","48","29","33",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-21","0.00","0.0","0.0","57","29","33",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-22","0.00","0.0","0.0","61","28","29",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-23","0.94","0.0","0.0","42","29","40",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-24","0.13","0.0","0.0","42","29","29",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-25","0.00","0.0","0.0","46","28","30",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-26","0.00","0.0","0.0","41","29","29",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-27","0.00","0.0","0.0","34","21","21",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-28","0.00","0.0","0.0","41","20","31",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-29","0.00","0.0","0.0","57","29","32",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-30","0.16","0.0","0.0","51","32","35",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-01-31","0.01","0.0","0.0","62","34","40",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-01","0.30","0.0","0.0","43","37","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-02","0.00","0.0","0.0","42","28","29",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-03","0.18","0.0","0.0","56","29","55",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-04","0.23","0.0","0.0","62","38","39",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-05","0.25","0.0","0.0","57","38","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-06","0.00","0.0","0.0","46","31","31",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-07","0.00","0.0","0.0","40","30","30",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-08","0.00","0.0","0.0","41","26","27",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-09","0.00","0.0","0.0","37","22","24",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-10","0.00","0.0","0.0","35","24","25",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-11","0.00","0.0","0.0","39","25","29",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-12","0.35","5.8","6.0","38","23","23",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-13","0.43","6.8","11.0","27","11","11",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-14","0.00","0.0","7.0","30","11","18","1.1",,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-15","0.00","0.0","5.0","40","17","23",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-16","0.00","0.0","1.0","57","22","28",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-17","0.00","0.0","0.0","59","28","54",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-18","0.03","0.0","0.0","61","28","31",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-19","0.00","0.0","0.0","37","13","14",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-20","0.00","0.0","0.0","28","14","24",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-21","0.00","0.0","0.0","37","19","23",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-22","0.00","0.0","0.0","42","22","23",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-23","0.01","0.0","0.0","40","23","34",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-24","0.02","0.0","0.0","45","28","33",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-25","0.00","0.0","0.0","40","22","22",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-26","0.00","0.0","0.0","53","21","22",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-27","0.00","0.0","0.0","31","17","19",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-02-28","0.00","0.0","0.0","33","17","21",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-01","0.00","0.0","0.0","34","21","26",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-02","0.00","0.0","0.0","44","23","28",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-03","0.25","0.0","0.0","33","23","24",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-04","0.00","0.0","0.0","37","24","27",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-05","0.00","0.0","0.0","42","27","30",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-06","0.00","0.0","0.0","48","28","28",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-07","0.00","0.0","0.0","45","27","28",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-08","0.00","0.0","0.0","45","22","26",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-09","0.00","0.0","0.0","51","26","41",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-10","0.01","0.0","0.0","64","41","58",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-11","0.00","0.0","0.0","76","42","44",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-12","0.01","0.0","0.0","66","44","48",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-03-13","0.61","0.0","0.0","55","45","46",,,,,,,,
