"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00368449","STATE COLLEGE, PA US","2006-01-01","0.02","0.0","0.0","38","30","35",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-02","0.00","0.0","0.0","39","34","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-03","0.50","0.0","0.0","40","34","35",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-04","0.00","0.0","0.0","39","35","36",,"    1",,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-05","0.09","0.0","0.0","42","36","40",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-06","0.04","0.4","0.0","41","31","33",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-07","0.00","0.0","0.0","33","21","21",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-08","0.02","0.0","0.0","34","21","34",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-09","0.00","0.0","0.0","41","33","35",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-10","0.00","0.0","0.0","58","35","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-11","0.00","0.0","0.0","44","36","43",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-12","0.22","0.0","0.0","47","37","38",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-13","0.00","0.0","0.0","57","33","33",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-14","0.62","0.0","0.0","58","33","47",,,,"    1",,,
"USC00368449","STATE COLLEGE, PA US","2006-01-15","0.05","0.2","0.0","48","18","18",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-16","0.00","0.0","0.0","31","18","20",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-17","0.00","0.0","0.0","31","19","30",,,,"    1",,"    1",
"USC00368449","STATE COLLEGE, PA US","2006-01-18","1.49","0.0","0.0","39","29","38",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-19","0.00","0.0","0.0","39","27","28",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-20","0.00","0.0","0.0","50","26","49",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-21","0.00","0.0","0.0","59","46","49",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-22","0.00","0.0","0.0","57","24","24",,,,"    1",,"    1",
"USC00368449","STATE COLLEGE, PA US","2006-01-23","0.48","0.4","0.0","38","24","33",,,,"    1",,"    1",
"USC00368449","STATE COLLEGE, PA US","2006-01-24","0.04","0.0","0.0","39","25","26",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-25","0.15","0.5","0.0","44","25","30",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-26","0.00","0.2","0.0","32","22","22",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-27","0.00","0.0","0.0","30","18","19",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-28","0.00","0.0","0.0","42","19","36",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-29","0.00","0.0","0.0","56","33","34",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-30","0.22","0.0","0.0","50","34","44",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-01-31","0.32","0.0","0.0","54","36","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-01","0.00","0.0","0.0","39","32","32",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-02","0.00","0.0","0.0","38","29","31",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-03","0.37","0.0","0.0","45","31","41",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-04","0.00","0.0","0.0","48","35","36",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-05","0.48","0.0","0.0","46","34","34",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-06","0.00","0.1","0.0","35","24","24",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-07","0.00","0.1","0.0","34","24","26",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-08","0.00","0.0","0.0","32","21","22",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-09","0.00","0.0","0.0","30","18","18",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-10","0.00","0.0","0.0","30","17","23",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-11","0.00","0.0","0.0","35","23","26",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-12","0.22","2.1","2.0","37","25","25",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-13","0.00","0.1","1.0","29","17","19",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-14","0.00","0.0","1.0","31","19","28",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-15","0.00","0.0","0.0","44","27","43",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-16","0.00","0.0","0.0","58","33","34",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-17","0.01","0.0","0.0","64","34","55",,,,,,,"    1"
"USC00368449","STATE COLLEGE, PA US","2006-02-18","0.00","0.0","0.0","51","24","24",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-19","0.01","0.3","0.0","25","6","6",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-20","0.00","0.0","0.0","23","6","16",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-21","0.00","0.0","0.0","34","16","24",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-22","0.00","0.0","0.0","39","21","21",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-23","0.00","0.0","0.0","45","21","32",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-24","0.10","0.4","0.0","45","23","23",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-25","0.00","0.0","0.0","33","23","27",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-26","0.00","0.1","0.0","54","18","18",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-27","0.01","0.1","0.0","25","15","16",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-02-28","0.10","1.0","1.0","29","14","15",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-01","0.00","0.0","0.0","31","15","25",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-02","0.06","0.0","0.0","41","24","30",,,,"    1",,"    1",
"USC00368449","STATE COLLEGE, PA US","2006-03-03","0.33","0.3","0.0","34","20","20",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-04","0.00","0.0","0.0","31","19","23",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-05","0.00","0.0","0.0","38","22","24",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-06","0.00","0.0","0.0","45","24","29",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-07","0.00","0.0","0.0","42","24","25",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-08","0.00","0.0","0.0","45","23","24",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-09","0.00","0.0","0.0","45","24","43",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-10","0.00","0.0","0.0","60","41","57",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-11","0.00","0.0","0.0","63","41","41",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-12","0.05","0.0","0.0","62","41","52",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-13","0.58","0.0","0.0","59","49","53",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-14","0.15","0.0","0.0","76","41","41",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-15","0.11","1.9","2.0","43","27","29",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-16","0.00","0.0","0.0","38","29","29",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-17","0.00","0.0","0.0","46","29","30",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-18","0.00","0.0","0.0","45","23","23",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-19","0.00","0.0","0.0","37","23","27",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-20","0.00","0.0","0.0","39","27","27",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-21","0.00","0.0","0.0","41","19","20",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-22","0.00","0.0","0.0","36","20","26",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-23","0.00","0.0","0.0","35","25","31",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-24","0.00","0.0","0.0","40","28","29",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-25","0.00","0.0","0.0","40","25","27",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-26","0.00","0.0","0.0","48","26","26",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-27","0.00","0.0","0.0","45","26","30",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-28","0.00","0.0","0.0","55","30","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-29","0.00","0.0","0.0","58","37","44",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-30","0.00","0.0","0.0","62","35","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-03-31","0.00","0.0","0.0","68","37","45",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-01","0.10","0.0","0.0","77","45","59",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-02","0.05","0.0","0.0","61","46","46",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-03","0.01","0.0","0.0","64","45","53",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-04","0.45","0.0","0.0","62","35","35",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-05","0.10","0.2","0.0","48","26","27",,,,"    1",,,
"USC00368449","STATE COLLEGE, PA US","2006-04-06","0.00","0.0","0.0","48","27","38",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-07","0.00","0.0","0.0","58","38","44",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-08","0.13","0.0","0.0","70","37","37",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-09","0.00","0.0","0.0","48","28","31",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-10","0.00","0.0","0.0","56","31","34",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-11","0.00","0.0","0.0","65","34","41",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-12","0.00","0.0","0.0","74","41","58",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-13","0.30","0.0","0.0","71","54","55",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-14","0.09","0.0","0.0","69","52","53",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-15","0.07","0.0","0.0","65","53","63",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-16","0.00","0.0","0.0","75","44","47",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-17","0.00","0.0","0.0","70","39","41",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-18","0.00","0.0","0.0","63","40","43",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-19","0.00","0.0","0.0","70","43","48",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-20","0.00","0.0","0.0","75","45","50",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-21","0.00","0.0","0.0","83","50","54",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-22","0.39","0.0","0.0","74","44","45",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-23","0.63","0.0","0.0","48","43","44",,,"    1",,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-24","0.21","0.0","0.0","67","44","48",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-25","0.00","0.0","0.0","62","46","50",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-26","0.08","0.0","0.0","67","30","34",,,,,,,
"USC00368449","STATE COLLEGE, PA US","2006-04-27","0.00","0.0","0.0","61","34","45",,,,,,,
